Asset No	Capitalized On	Asset Description	S/N	Barcode Name
431115-0	30/09/2021	Cylinder Leakage Tester (2)	EEPV509	431115-0 / Cylinder Leakage Tester (2)
431116-0	30/09/2021	Cylinder Leakage Tester (3)	EEPV509	431116-0 / Cylinder Leakage Tester (3)
431117-0	30/09/2021	Automative Compression (1)	EEPV500	431117-0 / Automative Compression (1)
431118-0	30/09/2021	Automative Compression (2)	EEPV500	431118-0 / Automative Compression (2)
431119-0	30/09/2021	Automative Compression (3)	EEPV500	431119-0 / Automative Compression (3)
431120-0	30/09/2021	Fire Suppression System 	WR0099957	431120-0 / Fire Suppression System 
431121-0	30/09/2021	Gauge Block Cera Set 	2005387	431121-0 / Gauge Block Cera Set 
431122-0	30/09/2021	Dig Depth Gage 150/0.01mm (1)	36402	431122-0 / Dig Depth Gage 150/0.01mm (1)
431122-0	30/09/2021	Dig Depth Gage 150/0.01mm (1)	36402	431122-0 / Dig Depth Gage 150/0.01mm (1)
431123-0	30/09/2021	Dig Depth Gage 150/0.01mm (2)	36387	431123-0 / Dig Depth Gage 150/0.01mm (2)
431123-0	30/09/2021	Dig Depth Gage 150/0.01mm (2)	36387	431123-0 / Dig Depth Gage 150/0.01mm (2)
431124-0	30/09/2021	Dig Depth Gage 150/0.01mm (3)	35092	431124-0 / Dig Depth Gage 150/0.01mm (3)
431124-0	30/09/2021	Dig Depth Gage 150/0.01mm (3)	35092	431124-0 / Dig Depth Gage 150/0.01mm (3)
431125-0	30/09/2021	Dig Depth Gage 150/0.01mm (4)	36386	431125-0 / Dig Depth Gage 150/0.01mm (4)
431125-0	30/09/2021	Dig Depth Gage 150/0.01mm (4)	36386	431125-0 / Dig Depth Gage 150/0.01mm (4)
431126-0	30/09/2021	Dig Holtest 6-8mm /0.001mm 	6103917	431126-0 / Dig Holtest 6-8mm /0.001mm 
431127-0	30/09/2021	Dig Holtest 8-10mm /0.001mm 	6100719	431127-0 / Dig Holtest 8-10mm /0.001mm 
431128-0	30/09/2021	Dig Holtest 10-12mm /0.001mm 	6091426	431128-0 / Dig Holtest 10-12mm /0.001mm 
431129-0	30/09/2021	Dig Holtest 12-16mm /0.001mm 	6076770	431129-0 / Dig Holtest 12-16mm /0.001mm 
431130-0	30/09/2021	Dig Holtest 16-20mm /0.001mm 	6093353	431130-0 / Dig Holtest 16-20mm /0.001mm 
431131-0	30/09/2021	Dig Holtest 20-25mm /0.001mm 	6102720	431131-0 / Dig Holtest 20-25mm /0.001mm 
431132-0	30/09/2021	Bore Gage 35-60/0.01mm (1)	20690337	431132-0 / Bore Gage 35-60/0.01mm (1)
431133-0	30/09/2021	Bore Gage 35-60/0.01mm (2)	20690006	431133-0 / Bore Gage 35-60/0.01mm (2)
431134-0	30/09/2021	Bore Gage 50-150/0.01mm (1)	20681720	431134-0 / Bore Gage 50-150/0.01mm (1)
431135-0	30/09/2021	Bore Gage 50-150/0.01mm (2)	19664019	431135-0 / Bore Gage 50-150/0.01mm (2)
431136-0	30/09/2021	Impact Wrench 3/8IN FW-6PX-5 (1)	61001	431136-0 / Impact Wrench 3/8IN FW-6PX-5 (1)
431136-0	30/09/2021	Impact Wrench 3/8IN FW-6PX-5 (1)	61001	431136-0 / Impact Wrench 3/8IN FW-6PX-5 (1)
431137-0	30/09/2021	Impact Wrench 3/8IN FW-6PX-5 (2)	61002	431137-0 / Impact Wrench 3/8IN FW-6PX-5 (2)
431137-0	30/09/2021	Impact Wrench 3/8IN FW-6PX-5 (2)	61002	431137-0 / Impact Wrench 3/8IN FW-6PX-5 (2)
431138-0	30/09/2021	Impact Wrench 3/8IN FW-6PX-5 (3)	61003	431138-0 / Impact Wrench 3/8IN FW-6PX-5 (3)
431138-0	30/09/2021	Impact Wrench 3/8IN FW-6PX-5 (3)	61003	431138-0 / Impact Wrench 3/8IN FW-6PX-5 (3)
431139-0	30/09/2021	Impact Wrench 3/8IN FW-6PX-5 (4)	61004	431139-0 / Impact Wrench 3/8IN FW-6PX-5 (4)
431139-0	30/09/2021	Impact Wrench 3/8IN FW-6PX-5 (4)	61004	431139-0 / Impact Wrench 3/8IN FW-6PX-5 (4)
431140-0	30/09/2021	Impact Wrench 1/2IN 63-120NM (1)	61008	431140-0 / Impact Wrench 1/2IN 63-120NM (1)
431140-0	30/09/2021	Impact Wrench 1/2IN 63-120NM (1)	61008	431140-0 / Impact Wrench 1/2IN 63-120NM (1)
431141-0	30/09/2021	Impact Wrench 1/2IN 63-120NM (2)	61009	431141-0 / Impact Wrench 1/2IN 63-120NM (2)
431141-0	30/09/2021	Impact Wrench 1/2IN 63-120NM (2)	61009	431141-0 / Impact Wrench 1/2IN 63-120NM (2)
431142-0	30/09/2021	Impact Wrench 1/2IN 63-120NM (3)	61011	431142-0 / Impact Wrench 1/2IN 63-120NM (3)
431142-0	30/09/2021	Impact Wrench 1/2IN 63-120NM (3)	61011	431142-0 / Impact Wrench 1/2IN 63-120NM (3)
431143-0	30/09/2021	Impact Wrench 1/2IN 63-120NM (4)	61012	431143-0 / Impact Wrench 1/2IN 63-120NM (4)
431143-0	30/09/2021	Impact Wrench 1/2IN 63-120NM (4)	61012	431143-0 / Impact Wrench 1/2IN 63-120NM (4)
431144-0	30/09/2021	Impact Wrench 3/8IN 27-40NM (1)	60007	431144-0 / Impact Wrench 3/8IN 27-40NM (1)
431144-0	30/09/2021	Impact Wrench 3/8IN 27-40NM (1)	60007	431144-0 / Impact Wrench 3/8IN 27-40NM (1)
431145-0	30/09/2021	Impact Wrench 3/8IN 27-40NM (2)	60009	431145-0 / Impact Wrench 3/8IN 27-40NM (2)
431145-0	30/09/2021	Impact Wrench 3/8IN 27-40NM (2)	60009	431145-0 / Impact Wrench 3/8IN 27-40NM (2)
431146-0	30/09/2021	Impact Wrench 3/8IN 27-40NM (3)	60010	431146-0 / Impact Wrench 3/8IN 27-40NM (3)
431146-0	30/09/2021	Impact Wrench 3/8IN 27-40NM (3)	60010	431146-0 / Impact Wrench 3/8IN 27-40NM (3)
431147-0	30/09/2021	Impact Wrench 3/8IN 27-40NM (4)	60008	431147-0 / Impact Wrench 3/8IN 27-40NM (4)
431147-0	30/09/2021	Impact Wrench 3/8IN 27-40NM (4)	60008	431147-0 / Impact Wrench 3/8IN 27-40NM (4)
431148-0	30/09/2021	Impact Wrench 100-150NM (1)	60001	431148-0 / Impact Wrench 100-150NM (1)
431148-0	30/09/2021	Impact Wrench 100-150NM (1)	60001	431148-0 / Impact Wrench 100-150NM (1)
431149-0	30/09/2021	Impact Wrench 100-150NM (2)	60003	431149-0 / Impact Wrench 100-150NM (2)
431149-0	30/09/2021	Impact Wrench 100-150NM (2)	60003	431149-0 / Impact Wrench 100-150NM (2)
431150-0	30/09/2021	Impact Wrench 100-150NM (3)	60004	431150-0 / Impact Wrench 100-150NM (3)
431150-0	30/09/2021	Impact Wrench 100-150NM (3)	60004	431150-0 / Impact Wrench 100-150NM (3)
431151-0	30/09/2021	Impact Wrench 100-150NM (4)	60005	431151-0 / Impact Wrench 100-150NM (4)
431151-0	30/09/2021	Impact Wrench 100-150NM (4)	60005	431151-0 / Impact Wrench 100-150NM (4)
431152-0	30/09/2021	Mastering Gauge 177-126-10mm 	190562	431152-0 / Mastering Gauge 177-126-10mm 
431153-0	30/09/2021	Mastering Gauge 177-284-12mm 	190093	431153-0 / Mastering Gauge 177-284-12mm 
431154-0	30/09/2021	Mastering Gauge 177-177-16mm 	180078	431154-0 / Mastering Gauge 177-177-16mm 
431155-0	30/09/2021	Mastering Gauge 177-286-20mm 	191836	431155-0 / Mastering Gauge 177-286-20mm 
431156-0	30/09/2021	Mastering Gauge 177-139-25mm 	191671	431156-0 / Mastering Gauge 177-139-25mm 
431157-0	30/09/2021	Mastering Gauge 177-140-35mm Hole Test (1)	180283	431157-0 / Mastering Gauge 177-140-35mm Hole Test (1)
431158-0	30/09/2021	Mastering Gauge 177-140-35mm Hole Test (2)	190085	431158-0 / Mastering Gauge 177-140-35mm Hole Test (2)
431159-0	30/09/2021	Mastering Gauge 177-292-60mm Hole Test (1)	180198	431159-0 / Mastering Gauge 177-292-60mm Hole Test (1)
431160-0	30/09/2021	Mastering Gauge 177-292-60mm Hole Test (2)	190010	431160-0 / Mastering Gauge 177-292-60mm Hole Test (2)
431161-0	30/09/2021	Mastering Gauge 177-300-150mm Hole Test (1)	200066	431161-0 / Mastering Gauge 177-300-150mm Hole Test (1)
431162-0	30/09/2021	Mastering Gauge 177-300-150mm Hole Test (2)	200063	431162-0 / Mastering Gauge 177-300-150mm Hole Test (2)
431163-0	30/09/2021	Mastering Gauge 177-125-8mn 	190574	431163-0 / Mastering Gauge 177-125-8mn 
431164-0	30/09/2021	Superform Standard Hydraulic Lift Table 500kg (1)	16102809QS/008T	431164-0 / Superform Standard Hydraulic Lift Table 500kg (1)
431165-0	30/09/2021	Superform Standard Hydraulic Lift Table 500kg (2)	16102809QS/006T	431165-0 / Superform Standard Hydraulic Lift Table 500kg (2)
431166-0	30/09/2021	Superform Standard Hydraulic Lift Table 500kg (3)	16102809QS/005T	431166-0 / Superform Standard Hydraulic Lift Table 500kg (3)
431167-0	31/08/2021	Flush Gauge Niigata Seiki (1)	GF030032	431167-0 / Flush Gauge Niigata Seiki (1)
431168-0	31/08/2021	Flush Gauge Niigata Seiki (2)	GF030228	431168-0 / Flush Gauge Niigata Seiki (2)
431169-0	31/08/2021	Flush Gauge Niigata Seiki (3)	GF030029	431169-0 / Flush Gauge Niigata Seiki (3)
431170-0	31/08/2021	Flush Gauge Niigata Seiki (4)	GF030019	431170-0 / Flush Gauge Niigata Seiki (4)
431171-0	31/08/2021	Flush Gauge Niigata Seiki (5)	GF030029	431171-0 / Flush Gauge Niigata Seiki (5)
431172-0	31/08/2021	Vernier Caliper DT-150 (1)	GF0800847	431172-0 / Vernier Caliper DT-150 (1)
431173-0	31/08/2021	Vernier Caliper DT-150 (2)	GF0800440	431173-0 / Vernier Caliper DT-150 (2)
431174-0	31/08/2021	Vernier Caliper DT-150 (3)	GF0800448	431174-0 / Vernier Caliper DT-150 (3)
431175-0	31/08/2021	Vernier Caliper DT-150 (4)	GF0800461	431175-0 / Vernier Caliper DT-150 (4)
431176-0	31/08/2021	Vernier Caliper DT-150 (5)	GF0800433	431176-0 / Vernier Caliper DT-150 (5)
431177-0	31/08/2021	Vernier Caliper DT-150 (6)	GF0800623	431177-0 / Vernier Caliper DT-150 (6)
431178-0	31/08/2021	Vernier Caliper DT-150 (7)	GF0800834	431178-0 / Vernier Caliper DT-150 (7)
431179-0	31/08/2021	Vernier Caliper DT-150 (8)	GF0800837	431179-0 / Vernier Caliper DT-150 (8)
431180-0	31/08/2021	Vernier Caliper DT-150 (9)	GF0800651	431180-0 / Vernier Caliper DT-150 (9)
431181-0	31/08/2021	Vernier Caliper DT-150 (10)	-	431181-0 / Vernier Caliper DT-150 (10)
431182-0	31/08/2021	GRX-3000 AP 200 P Kit PS/A268 	321140206	431182-0 / GRX-3000 AP 200 P Kit PS/A268 
431182-0	31/08/2021	GRX-3000 AP 200 P Kit PS/A268 	321140206	431182-0 / GRX-3000 AP 200 P Kit PS/A268 
431183-0	31/08/2021	Bosch Laser Leveler GLL 5-50 X Kit 	28000656	431183-0 / Bosch Laser Leveler GLL 5-50 X Kit 
431183-0	31/08/2021	Bosch Laser Leveler GLL 5-50 X Kit 	28000656	431183-0 / Bosch Laser Leveler GLL 5-50 X Kit 
431184-0	31/08/2021	Hydraulic Lift Table 500 Kg MLT-50 	15042809/006T	431184-0 / Hydraulic Lift Table 500 Kg MLT-50 
431185-0	31/08/2021	Hydraulic Hand Pallet KW0500396 	050396-0233-1020	431185-0 / Hydraulic Hand Pallet KW0500396 
431186-0	31/08/2021	Electronic Squeak and Rattle Finder 	14089	431186-0 / Electronic Squeak and Rattle Finder 
431187-0	31/08/2021	Cordless Compact Imapact Driver (1)	457	431187-0 / Cordless Compact Imapact Driver (1)
431187-0	31/08/2021	Cordless Compact Imapact Driver (1)	457	431187-0 / Cordless Compact Imapact Driver (1)
431188-0	31/08/2021	Cordless Compact Imapact Driver (2)	461	431188-0 / Cordless Compact Imapact Driver (2)
431188-0	31/08/2021	Cordless Compact Imapact Driver (2)	461	431188-0 / Cordless Compact Imapact Driver (2)
431189-0	31/08/2021	Cordless Compact Imapact Driver (3)	448	431189-0 / Cordless Compact Imapact Driver (3)
431189-0	31/08/2021	Cordless Compact Imapact Driver (3)	448	431189-0 / Cordless Compact Imapact Driver (3)
431190-0	31/08/2021	Cordless Compact Imapact Driver (4)	450	431190-0 / Cordless Compact Imapact Driver (4)
431190-0	31/08/2021	Cordless Compact Imapact Driver (4)	450	431190-0 / Cordless Compact Imapact Driver (4)
431191-0	31/08/2021	Cordless Compact Imapact Driver (5)	478	431191-0 / Cordless Compact Imapact Driver (5)
431191-0	31/08/2021	Cordless Compact Imapact Driver (5)	478	431191-0 / Cordless Compact Imapact Driver (5)
431192-0	31/08/2021	Cordless Compact Imapact Driver (6)	479	431192-0 / Cordless Compact Imapact Driver (6)
431192-0	31/08/2021	Cordless Compact Imapact Driver (6)	479	431192-0 / Cordless Compact Imapact Driver (6)
431193-0	31/08/2021	Cordless Compact Imapact Driver (7)	474	431193-0 / Cordless Compact Imapact Driver (7)
431193-0	31/08/2021	Cordless Compact Imapact Driver (7)	474	431193-0 / Cordless Compact Imapact Driver (7)
431194-0	31/08/2021	Cordless Compact Imapact Driver (8)	465	431194-0 / Cordless Compact Imapact Driver (8)
431194-0	31/08/2021	Cordless Compact Imapact Driver (8)	465	431194-0 / Cordless Compact Imapact Driver (8)
431195-0	31/08/2021	Cordless Compact Imapact Driver (9)	446	431195-0 / Cordless Compact Imapact Driver (9)
431195-0	31/08/2021	Cordless Compact Imapact Driver (9)	446	431195-0 / Cordless Compact Imapact Driver (9)
431196-0	31/08/2021	Cordless Compact Imapact Driver (10)	476	431196-0 / Cordless Compact Imapact Driver (10)
431196-0	31/08/2021	Cordless Compact Imapact Driver (10)	476	431196-0 / Cordless Compact Imapact Driver (10)
431197-0	31/08/2021	Tool Set with Trolley Cart (1)	-	431197-0 / Tool Set with Trolley Cart (1)
431198-0	31/08/2021	Tool Set with Trolley Cart (2)	-	431198-0 / Tool Set with Trolley Cart (2)
431199-0	31/08/2021	Tool Set with Trolley Cart (3)	-	431199-0 / Tool Set with Trolley Cart (3)
431200-0	31/08/2021	Tool Set with Trolley Cart (4)	-	431200-0 / Tool Set with Trolley Cart (4)
431201-0	31/08/2021	Thermometer Fluke 62 Max+ 	-	431201-0 / Thermometer Fluke 62 Max+ 
431202-0	31/08/2021	Hydrometer Specific Gravity Cup DA-130N 	5000332	431202-0 / Hydrometer Specific Gravity Cup DA-130N 
431202-0	31/08/2021	Hydrometer Specific Gravity Cup DA-130N 	5000332	431202-0 / Hydrometer Specific Gravity Cup DA-130N 
431203-0	31/08/2021	Endoscope Extech BR250 	2,02E+12	431203-0 / Endoscope Extech BR250 
431203-0	31/08/2021	Endoscope Extech BR250 	2,02101E+12	431203-0 / Endoscope Extech BR250 
431204-0	31/08/2021	Digital Refractormeter Atago 	AB211620	431204-0 / Digital Refractormeter Atago 
431205-0	31/08/2021	Environment Meter 5 in 1 Pro 	10176832-0016-1120	431205-0 / Environment Meter 5 in 1 Pro 
431206-0	31/08/2021	Digital Force Gauge 500N ZTS-500N 	442794	431206-0 / Digital Force Gauge 500N ZTS-500N 
431207-0	31/08/2021	Flatform Hand Truck 700Kg Steel 	-	431207-0 / Flatform Hand Truck 700Kg Steel 
431208-0	31/08/2021	G-Scan 3 Standard Kit (Battery) 	RAG-03262	431208-0 / G-Scan 3 Standard Kit (Battery) 
431209-0	31/08/2021	G-Scan 3 Standard Kit (Battery) 	RAG-03263	431209-0 / G-Scan 3 Standard Kit (Battery) 
431210-0	31/08/2021	G-Scan 3 Standard Kit (Battery) 	RAG-03264	431210-0 / G-Scan 3 Standard Kit (Battery) 
431211-0	31/08/2021	G-Scan 3 Standard Kit (Battery) 	RAG-03265	431211-0 / G-Scan 3 Standard Kit (Battery) 
431212-0	31/08/2021	G-Scan 3 Standard Kit (Battery) 	RAG-03266	431212-0 / G-Scan 3 Standard Kit (Battery) 
431213-0	31/08/2021	G-Scan 3 Standard Kit (Battery) 	RAG-03267	431213-0 / G-Scan 3 Standard Kit (Battery) 
431214-0	31/08/2021	Scissor Lift in Ground HL-32X (1)	19G01	431214-0 / Scissor Lift in Ground HL-32X (1)
431215-0	31/08/2021	Scissor Lift in Ground HL-32X (2)	19G02	431215-0 / Scissor Lift in Ground HL-32X (2)
431216-0	31/08/2021	Belt Tension Gauge Gates Unita U-508 	B20A7733	431216-0 / Belt Tension Gauge Gates Unita U-508 
431217-0	31/08/2021	Timbangan Lantai PSY-300/4406A	3A7807080	431217-0 / Timbangan Lantai PSY-300/4406A
431218-0	31/08/2021	Automotive Tools Set (1)	-	431218-0 / Automotive Tools Set (1)
431219-0	31/08/2021	Automotive Tools Set (2)	-	431219-0 / Automotive Tools Set (2)
431220-0	31/08/2021	Automotive Tools Set (3)	-	431220-0 / Automotive Tools Set (3)
431221-0	31/08/2021	Automotive Tools Set (4)	-	431221-0 / Automotive Tools Set (4)
431222-0	31/08/2021	Calibration Jig for Steering Wheel	109687	431222-0 / Calibration Jig for Steering Wheel
431223-0	31/08/2021	Steering Wheel Adjustment Inclinometer (1)	109569	431223-0 / Steering Wheel Adjustment Inclinometer (1)
431224-0	31/08/2021	Steering Wheel Adjustment Inclinometer (2)	109632	431224-0 / Steering Wheel Adjustment Inclinometer (2)
431225-0	31/08/2021	Steering Wheel Adjustment Inclinometer (3)	109630	431225-0 / Steering Wheel Adjustment Inclinometer (3)
431226-0	31/08/2021	Steering Wheel Adjustment Inclinometer (4)	109629	431226-0 / Steering Wheel Adjustment Inclinometer (4)
431227-0	31/08/2021	Digital Torque Wrench CEM360N3X22D-G 	701936M	431227-0 / Digital Torque Wrench CEM360N3X22D-G 
431228-0	31/08/2021	Digital Torque CEM20N3X10D-G (4-20 Nm) 	706245K	431228-0 / Digital Torque CEM20N3X10D-G (4-20 Nm) 
431229-0	31/08/2021	Tohnichi Cem50N3X12D-G (1 pcs)	701285M	431229-0 / Tohnichi Cem50N3X12D-G (1 pcs)
431230-0	31/08/2021	Digital Torque Wrench CEM100N3X10D-G 	706297L	431230-0 / Digital Torque Wrench CEM100N3X10D-G 
431231-0	31/08/2021	Surface Granite Plate (1 pcs)	33025001	431231-0 / Surface Granite Plate (1 pcs)
431232-0	31/08/2021	High Pressure Car Wash Machine 	21346	431232-0 / High Pressure Car Wash Machine 
431232-0	31/08/2021	High Pressure Car Wash Machine 	21346	431232-0 / High Pressure Car Wash Machine 
431233-0	31/08/2021	Mitutoyo Dig Depth Gauge 200/0.01 mm 	-	431233-0 / Mitutoyo Dig Depth Gauge 200/0.01 mm 
431234-0	31/08/2021	Wet & Dry Vacuum Cleaner	-	431234-0 / Wet & Dry Vacuum Cleaner
431235-0	31/08/2021	Hardmatic HH-411 (JIS)	206434	431235-0 / Hardmatic HH-411 (JIS)
431236-0	31/08/2021	Ultrasonic Thickness Gauge 	211697903	431236-0 / Ultrasonic Thickness Gauge 
431237-0	31/08/2021	Fender L/RH Pallet (1)	-	431237-0 / Fender L/RH Pallet (1)
431238-0	31/08/2021	Fender L/RH Pallet (2)	-	431238-0 / Fender L/RH Pallet (2)
431239-0	31/08/2021	Rear Door Outer L/R Pallet (1)	-	431239-0 / Rear Door Outer L/R Pallet (1)
431240-0	31/08/2021	Front Door Outer L/R Pallet (1)	-	431240-0 / Front Door Outer L/R Pallet (1)
431241-0	31/08/2021	Front Door Outer L/R Pallet (2)	-	431241-0 / Front Door Outer L/R Pallet (2)
431242-0	31/08/2021	Rear Door Outer L/R Pallet (2)	-	431242-0 / Rear Door Outer L/R Pallet (2)
431243-0	31/08/2021	Front Door Outer L/R Pallet (3)	-	431243-0 / Front Door Outer L/R Pallet (3)
431244-0	31/08/2021	Front Door Outer L/R Pallet (4)	-	431244-0 / Front Door Outer L/R Pallet (4)
431245-0	31/08/2021	Front Door Outer L/R Pallet (5)	-	431245-0 / Front Door Outer L/R Pallet (5)
431246-0	30/09/2021	Digital Glass Body pH Electrode for General Purpose	HI11310	431246-0 / Digital Glass Body pH Electrode for General Purpose
431247-0	30/09/2021	COD Test Tube Heater 	HI839800-02	431247-0 / COD Test Tube Heater 
431248-0	30/09/2021	Velp FTC90	FI0300140	431248-0 / Velp FTC90
431249-0	30/09/2021	750w2 Monitor + SoliTechw2 IR Sensor 	527680	431249-0 / 750w2 Monitor + SoliTechw2 IR Sensor 
431250-0	30/09/2021	Multiparameter photometer with COD	HI83399	431250-0 / Multiparameter photometer with COD
431251-0	30/09/2021	BOD Sensor System 6	SI0220146	431251-0 / BOD Sensor System 6
431252-0	30/09/2021	Hardware Trolly (1)	-	431252-0 / Hardware Trolly (1)
431253-0	30/09/2021	Hardware Trolly (2)	-	431253-0 / Hardware Trolly (2)
431254-0	30/09/2021	Hardware Trolly (3)	-	431254-0 / Hardware Trolly (3)
431255-0	30/09/2021	Superform Hand Pallet Trucks 685x1220mm 	-	431255-0 / Superform Hand Pallet Trucks 685x1220mm 
431256-0	30/09/2021	3M 3125 Nib Removal Sander 1-1/4" (4)	-	431256-0 / 3M 3125 Nib Removal Sander 1-1/4" (4)
431257-0	30/09/2021	3M 3125 Nib Removal Sander 1-1/4" (5)	-	431257-0 / 3M 3125 Nib Removal Sander 1-1/4" (5)
431258-0	30/09/2021	3M 3125 Nib Removal Sander 1-1/4" (6)	-	431258-0 / 3M 3125 Nib Removal Sander 1-1/4" (6)
431259-0	30/09/2021	3M 3125 Nib Removal Sander 1-1/4" (7)	-	431259-0 / 3M 3125 Nib Removal Sander 1-1/4" (7)
431260-0	30/09/2021	3M 3125 Nib Removal Sander 1-1/4" (8)	-	431260-0 / 3M 3125 Nib Removal Sander 1-1/4" (8)
431261-0	30/09/2021	3M 7403 Polishing Sander (4)	-	431261-0 / 3M 7403 Polishing Sander (4)
431262-0	30/09/2021	3M 7403 Polishing Sander (5)	-	431262-0 / 3M 7403 Polishing Sander (5)
431263-0	30/09/2021	Buffing Machine 5" (1)	-	431263-0 / Buffing Machine 5" (1)
431264-0	30/09/2021	Buffing Machine 5" (2)	-	431264-0 / Buffing Machine 5" (2)
431265-0	30/09/2021	Buffing Machine 5" (3)	-	431265-0 / Buffing Machine 5" (3)
431266-0	30/09/2021	Buffing Machine 5" (4)	-	431266-0 / Buffing Machine 5" (4)
431267-0	30/09/2021	Buffing Machine 5" (5)	-	431267-0 / Buffing Machine 5" (5)
431268-0	30/09/2021	Buffing Machine 5" (6)	-	431268-0 / Buffing Machine 5" (6)
431269-0	30/09/2021	Buffing Machine 5" (7)	-	431269-0 / Buffing Machine 5" (7)
431270-0	30/09/2021	Buffing Machine 5" (8)	-	431270-0 / Buffing Machine 5" (8)
431271-0	30/09/2021	Inspection Deck L/R (1)	-	431271-0 / Inspection Deck L/R (1)
431272-0	30/09/2021	Inspection Deck L/R (2)	-	431272-0 / Inspection Deck L/R (2)
431273-0	30/09/2021	Compressed Air Drop 	-	431273-0 / Compressed Air Drop 
431274-0	30/09/2021	Water T-Plate (1)	-	431274-0 / Water T-Plate (1)
431275-0	30/09/2021	Water T-Plate (2)	-	431275-0 / Water T-Plate (2)
431276-0	30/09/2021	Water T-Plate (3)	-	431276-0 / Water T-Plate (3)
431277-0	30/09/2021	Water T-Plate (4)	-	431277-0 / Water T-Plate (4)
431278-0	30/09/2021	Hand Stacker Manual Portable (1)	0ZB9D/SP-MAL9-PM9D41D1113	431278-0 / Hand Stacker Manual Portable (1)
431279-0	30/09/2021	Hand Stacker Manual Portable (2)	OZB9D/SP-MAL9/PM9D4501116	431279-0 / Hand Stacker Manual Portable (2)
431280-0	30/09/2021	Hand Stacker Manual Portable (3)	OZ9D/SP-MAL9/PM9D45D1114	431280-0 / Hand Stacker Manual Portable (3)
431281-0	30/09/2021	Hand Stacker Manual Portable (4)	OZB9D/SP-MAL9/PM9D4501117	431281-0 / Hand Stacker Manual Portable (4)
431282-0	30/09/2021	Hand Stacker Manual Portable (5)	OZB9D/SP-MAL9/PM9D4501115	431282-0 / Hand Stacker Manual Portable (5)
431283-0	30/09/2021	Hand Pallet Truck 3 Ton (1)	2007117243	431283-0 / Hand Pallet Truck 3 Ton (1)
431284-0	30/09/2021	Hand Pallet Truck 3 Ton (2)	2007117241	431284-0 / Hand Pallet Truck 3 Ton (2)
431285-0	30/09/2021	Hand Pallet Truck 3 Ton (3)	2007117253	431285-0 / Hand Pallet Truck 3 Ton (3)
431286-0	30/09/2021	Hand Pallet Truck 3 Ton (4)	2007117244	431286-0 / Hand Pallet Truck 3 Ton (4)
431287-0	30/09/2021	Hand Pallet Truck 3 Ton (5)	2007117242	431287-0 / Hand Pallet Truck 3 Ton (5)
431288-0	30/09/2021	Scissor Lift Table 800 Kg (1)	2007117375	431288-0 / Scissor Lift Table 800 Kg (1)
431289-0	30/09/2021	Manual Stacker with Adjustable Forks 2 Ton (1)	2011122117	431289-0 / Manual Stacker with Adjustable Forks 2 Ton (1)
431290-0	30/09/2021	Manual Stacker with Adjustable Forks 2 Ton (2)	2011122120	431290-0 / Manual Stacker with Adjustable Forks 2 Ton (2)
431291-0	30/09/2021	Manual Stacker with Adjustable Forks 2 Ton (3)	2011122115	431291-0 / Manual Stacker with Adjustable Forks 2 Ton (3)
431292-0	30/09/2021	Manual Stacker with Adjustable Forks 2 Ton (4)	32002XK000395B	431292-0 / Manual Stacker with Adjustable Forks 2 Ton (4)
431293-0	30/09/2021	Manual Drum Loader 300 kg (1)	DHE-742-16	431293-0 / Manual Drum Loader 300 kg (1)
431294-0	30/09/2021	Hand Truck Trolly Platform Steel 700kg (1)	-	431294-0 / Hand Truck Trolly Platform Steel 700kg (1)
431295-0	30/09/2021	Hand Truck Trolly Platform Steel 700kg (2)	-	431295-0 / Hand Truck Trolly Platform Steel 700kg (2)
431296-0	30/09/2021	Hand Truck Trolly Platform Steel 700kg (3)	-	431296-0 / Hand Truck Trolly Platform Steel 700kg (3)
431297-0	30/09/2021	Hand Truck Trolly Platform Steel 700kg (4)	-	431297-0 / Hand Truck Trolly Platform Steel 700kg (4)
431298-0	30/09/2021	Hand Truck Trolly Platform Steel 700kg (5)	-	431298-0 / Hand Truck Trolly Platform Steel 700kg (5)
431299-0	30/09/2021	Hand Truck Trolly Platform Steel 700kg (6)	-	431299-0 / Hand Truck Trolly Platform Steel 700kg (6)
431300-0	30/09/2021	Hand Truck Trolly Platform Steel 700kg (7)	-	431300-0 / Hand Truck Trolly Platform Steel 700kg (7)
431301-0	30/09/2021	Hand Truck Trolly Platform Steel 700kg (8)	-	431301-0 / Hand Truck Trolly Platform Steel 700kg (8)
431302-0	30/09/2021	Hand Truck Trolly Platform Steel 700kg (9)	-	431302-0 / Hand Truck Trolly Platform Steel 700kg (9)
431303-0	30/09/2021	Hydraulic Engine Crane 2 Ton (1)	KW0500054	431303-0 / Hydraulic Engine Crane 2 Ton (1)
431304-0	30/09/2021	Hydraulic Engine Crane 2 Ton (2)	KW0500054	431304-0 / Hydraulic Engine Crane 2 Ton (2)
431305-0	30/09/2021	Hydraulic Engine Crane 2 Ton (3)	KW0500054	431305-0 / Hydraulic Engine Crane 2 Ton (3)
431306-0	30/09/2021	Hydraulic Engine Crane 2 Ton (4)	KW0500054	431306-0 / Hydraulic Engine Crane 2 Ton (4)
431307-0	30/09/2021	Hydraulic Engine Crane 2 Ton (5)	32002XK000395B	431307-0 / Hydraulic Engine Crane 2 Ton (5)
431308-0	30/09/2021	Scissor Lift Table 800 Kg (2)	2103116104	431308-0 / Scissor Lift Table 800 Kg (2)
